Sponsor Submitted Date,Proposal State,Principal Investigator,Last Name,First Name,Lead Department,Proposal Title,Prime Sponsor,Proposal Requested Total Amt,CO PI Name
6/12/2018,Not Funded,Sandra McGinnis,McGinnis,Sandra,010 Center for Human Services Research,State Essentials for Childhood Initiative: Implementation of Strategies and Approaches for Child Abuse and Neglect Prevention,Centers for Disease Control and Prevention,373724,Rose Greene
6/14/2018,Awarded,Kristin Christodulu,Christodulu,Kristin,010 Psychology,Increasing Capacity of School Teams to Provide Effective Educational Practices for Students with Autism,NYS Education Department,500000,
6/14/2018,Not Funded,Gabriele Fuchs,Fuchs,Gabriele,010 Biology,Lysine acetylation of ribosomal proteins during poliovirus infection limits viral translation,National Institutes of Health,154500,
6/14/2018,Not Funded,Prashanth Kasturi Rangan,Kasturi Rangan,Prashanth,010 Biology,Regulation of Stem Cell Differentiation During Drosophila Oogenesis,National Institute of General Medical Sciences,191462,
6/15/2018,Not Funded,Magdia DeJesus,DeJesus,Magdia,010 Biomedical Science,Candida auris: Development of novel vaccines and diagnostics,National Institute of Allergy & Infectious Disease,424875,
6/18/2018,Awarded,Jason Randall,Randall,Jason,010 Psychology,Promoting Informal Self-Regulated Learning:  A multi-Level Approach,US Army Research Institute,183932,
6/18/2018,Not Funded,Alexander Khmaladze,Khmaladze,Alexander,010 Physics,Non-Invasive Analysis of Bioengineered Organoids for Salivary Gland Regeneration,National Institutes of Health,306101,Melinda Larsen
6/18/2018,Not Funded,James Boswell,Boswell,James,010 Psychology,Automated multimodal assessment of therapeutic alliance quality in routine psychotherapy,National Institutes of Health,641816,Murat Yucel
6/19/2018,Not Funded,Andrew Poulos,Poulos,Andrew,010 Psychology,Developmental Sensitive Periods in Aversive Conditioning.,National Institutes of Health,367497,
6/20/2018,Awarded,Jean Moore,Moore,Jean,010 Center for Health Workforce Studies,Monitoring New York's Health Workforce,NYS Department of Health,148000,
6/20/2018,Awarded,Matthew Szydagis,Szydagis,Matthew,010 Physics,Travel for LUX/ZEPLIN Project,Regents of the University of California,5000,Cecilia Levy
6/21/2018,Awarded,Aaron Benavot,Benavot,Aaron,010 Educational Policy & Leadership,NISSEM- SEPN UNESCO Project,United Nations Educational Scientific&Cultural Org,64998,
6/21/2018,Not Funded,Alexander Khmaladze,Khmaladze,Alexander,010 Physics,Study of Iron Transport by Raman Microspectroscopy,National Institute of General Medical Sciences,460225,
6/22/2018,Awarded,Erika Martin,Martin,Erika,010 Center for Policy Research,Identifying and Disseminating Substance  Treatment  Strategy (STS) Recommendations to AIDS Service Organizations,National Institute on Drug Abuse,144094,
6/26/2018,Not Funded,Patricia Strach,Strach,Patricia,010 Center for Policy Research,19th Century Exam  21st Century Policing: An Examination of the New York State Civil Service and Police Officer Recruitment,National Science Foundation,7527,Amani Edwards
6/26/2018,Not Funded,Zhang Wang,Wang,Zhang,010 Chemistry,Total Syntheses of Anti-Influenza Natural Products,National Institute of General Medical Sciences,456959,
6/27/2018,Awarded,Kristin Christodulu,Christodulu,Kristin,010 Psychology,NYS Regional Centers for Autism Spectrum Disorders,NYS Education Department,1240000,
6/27/2018,Not Funded,Alexander Khmaladze,Khmaladze,Alexander,010 Physics,The Study of Methamphetamine induced changes in mitochondrial cell dynamics,National Institutes of Health,435541,
6/27/2018,Not Funded,Damian Zuloaga,Zuloaga,Damian,010 Psychology,Corticotropin releasing factor receptor 1 regulation of postpartum depression and anxiety,National Institute of Mental Health,463500,
6/27/2018,Not Funded,Jonathan Petruccelli,Petruccelli,Jonathan,010 Physics,Practical phase & coherent scatter enhanced mammography for early detection,Prevent Cancer Foundation,99898,Carolyn MacDonald
6/27/2018,Not Funded,Michael Bloom,Bloom,Michael,010 Environmental Health Sciences,Racial Disparity in Maternal Exposure to Environmental Endocrine Disrupting Compounds; Association with Racial Disparity in Fetal Development and Perinatal Outcomes,National Institutes of Health,483016,Murat Yucel
6/27/2018,Not Funded,Qiang Zhang,Zhang,Qiang,010 Chemistry,Studies Towards the Formation of Phenolic Enone-dimers via Dearomatization Strategy,National Institutes of Health,436589,
6/28/2018,Not Funded,Allison Appleton,Appleton,Allison,010 Epidemiology & Biostatistics,The joint effects of maternal depression and heavy metal exposure during pregnancy on child neurodevelopment: Epigenetic mechanisms,National Institutes of Health,399451,
6/28/2018,Not Funded,Ming-Ching Chang,Chang,Ming-Ching,010 Computer Science,DARPA URSA Proposal GE Subcontract,Defense Advanced Research Projects Agency (DARPA),249061,Siwei Lyu
6/28/2018,Not Funded,Yanna Liang,Liang,Yanna,010 Envir & Sust Engr,Controlled anaerobic digestion for producing high value products from organic waste streams,US Department of Energy,3060937,Kyoung-Yeol Kim
6/29/2018,Not Funded,JoEllen Welsh,Welsh,JoEllen,010 Environmental Health Sciences,Seasonal photoperiods and breast cancer,National Institutes of Health,2361000,
6/29/2018,Not Funded,Jun Wang,Wang,Jun,010 Chemistry,Development of Single-Cell Functional Proteomics Microtechnology for Comprehensive Profiling of Functionally Diverse Subpopulations and Their Signaling Pathways,National Institutes of Health,1487783,Igor Kuznetsov
6/29/2018,Not Funded,Jun Wang,Wang,Jun,010 Chemistry,Multiplex Single-Cell Analysis for Point-of-Detection Diagnosis of Immunological Disorders,National Institutes of Health,300000,Igor Kuznetsov
7/3/2018,Not Funded,Georges Potworowski,Potworowski,Georges,Setup Business Group,Safety Net Value Champions Fellowship Program,Robert Wood Johnson Foundation,34992,
7/5/2018,Awarded,Andrew Poulos,Poulos,Andrew,010 Psychology,Development and Sex Differentiation of Context Fear Neural Circuits,National Institute of Mental Health,1892334,Damian Zuloaga
7/5/2018,Not Funded,Haijun Chen,Chen,Haijun,010 Biology,Kir2 channels and spontaneous rhythmic action potential,National Institutes of Health,1521776,
7/5/2018,Not Funded,Srivathsan Vembanur Ranganathan,Vembanur Ranganathan,Srivathsan,010 The RNA Institute,Elucidating the molecular mechanism of the role of Abeta oligomers in Alzheimer's Disease (AD) progression towards a therapeutic intervention,National Institute on Aging,309000,
7/6/2018,Awarded,Melinda Larsen,Larsen,Melinda,010 Biology,Nanofiber Scaffolds for Salicary Gland Regeneration,National Institutes of Health,3696153,Alexander Khmaladze
7/6/2018,Not Funded,Li Niu,Niu,Li,010 Chemistry,RNA Hydrogels,National Institutes of Health,2337717,Jia Sheng
7/6/2018,Not Funded,Prashanth Kasturi Rangan,Kasturi Rangan,Prashanth,010 Biology,Regulation of Maternal RNAs,National Institutes of Health,1907656,
7/9/2018,Awarded,James Utermark,Utermark,James,010 Center for International Development,Center for Parliamentary Studies and Training Study Tour,Parliament of Kenya,49880,
7/9/2018,Awarded,John Justino,Justino,John,010 Center for Global Health,Global Education and Training (GET) Program,People's Hospital of Guangxi Zhuang Autonomous Region of China,113927,Allison Appleton : Shao Lin : Michael Bloom : Erin Bell : Philip Nasca
7/10/2018,Not Funded,Alexander Khmaladze,Khmaladze,Alexander,010 Physics,Optical multi-channel detector for in-situ inline monitoring of water quality,National Science Foundation,65489,
7/10/2018,Not Funded,Damian Zuloaga,Zuloaga,Damian,010 Psychology,CAREER:  Sex-Specific Regulation of Stress-Associated Functions by Corticotropin Releasing Factor Receptor 1,National Science Foundation,852629,
7/10/2018,Not Funded,Gerd-Uwe Flechsig,Flechsig,Gerd-Uwe,010 Chemistry,CAREER: In situ studies of ultra-trace metal species in environmental waters by calibration- and preparation-free micro-coulometry at superheated electrodes,National Science Foundation,699179,
7/11/2018,Awarded,Chris Papas,Papas,Chris,010 Center for Human Services Research,PCANJ - Management Information System for the Healthy Families New Jersey Program (FamSys),Prevent Child Abuse-New Jersey,173237.92,Rose Greene
7/11/2018,Awarded,Dawn Bleyenburg,Bleyenburg,Dawn,010 SPH Continuing Education,2018 NYSACHO annual meetings,NYS Association of County Health Officials,10500,
7/11/2018,Awarded,Dawn Bleyenburg,Bleyenburg,Dawn,010 SPH Continuing Education,Columbia PHTC data,Health Resources and Services Admin,2760,
7/11/2018,Awarded,Thomas Begley,Begley,Thomas,010 Biology,Mechanisms of Naphthalene Toxicity in Lung,National Institutes of Health,79055,
7/11/2018,Not Funded,Megan Solon,Solon,Megan,010 Language/Literature & Culture,Acquisition of sociophonetic competence in the foreign classroom,Spencer Foundation,24459,
7/12/2018,Awarded,Marco Varisco,Varisco,Marco,010 Mathematics & Statistics,Upstate New York Topology Seminar,National Science Foundation,5980,
7/12/2018,Not Funded,Maksim Royzen,Royzen,Maksim,010 Chemistry,CAREER: Development of a reloadable system for local activation of anticancer prodrugs,National Science Foundation,763290,
7/13/2018,Awarded,Bryan Early,Early,Bryan,010 Center for Policy Research,Preventing Transfer & Proliferation of Goods & Technology,US Department of State,46677,
7/13/2018,Not Funded,Bryan Early,Early,Bryan,010 Center for Policy Research,Open Source Research to Support Sanctions Enforcement,US Department of State,289155,
7/13/2018,Not Funded,Xiaobo Romeiko,Romeiko,Xiaobo,010 Environmental Health Sciences,Creating a Rapid and Automatic Life Cycle Assessment Tool for Supporting the Transition to Sustainable Agriculture,National Science Foundation,535738,
7/16/2018,Awarded,Mustafa Aksoy,Aksoy,Mustafa,010 Electrical & Comp Engr,Characterization of Antarctic Firn by Multi-Frequency Passive Remote Sensing,National Science Foundation,337083,
7/16/2018,Not Funded,Alex Valm,Valm,Alex,010 Biology,CAREER:  Systems imaging to uncover principles of microbial community structure and assembly in multi-species biofilms,National Science Foundation,657258,
7/17/2018,Not Funded,Alexander Khmaladze,Khmaladze,Alexander,010 Physics,CAREER: Non-Invasive Analysis of Organoids for Tissue Engineering,National Science Foundation,586018,
7/17/2018,Not Funded,Herbert Fotso,Fotso,Herbert,010 Physics,CAREER: Quantum Systems Away From Equilibrium: Quantum Emitters in Dynamic Environments And Field-Driven Correlated Systems,National Science Foundation,553388,
7/17/2018,Not Funded,Jan Halamek,Halamek,Jan,010 Chemistry,CAREER:  Biosensing Enhancement Via Biocatalytic Cascades adn DNA-Based Scaffolds,National Science Foundation,524801,
7/17/2018,Not Funded,Qiang Zhang,Zhang,Qiang,010 Chemistry,CAREER:  Development of Enabling Tools for Peptide and Protein Synthesis and Modification,National Science Foundation,600052,
7/18/2018,Awarded,Bryan Early,Early,Bryan,010 Center for Policy Research,Strategic Trade Control Support for Macedonia  Montenegro  and Serbia,US Department of State,199932,
7/18/2018,Awarded,Jia Sheng,Sheng,Jia,010 Chemistry,Career:Chemical Biology Approaches to Study 5-Methylcytidine Derivatives in RNA and Develop CRISPR-Tet2-Based Epitranscriptomic Tool for Gene Regulation,National Science Foundation,603504,
7/18/2018,Awarded,Mariya Zheleva,Zheleva,Mariya,010 Computer Science,CAREER: Integrative Measurement of Radio Spectrum,National Science Foundation,510494,
7/18/2018,Not Funded,Daphney-Stavroula Zois,Zois,Daphney-Stavroula,010 Electrical & Comp Engr,CAREER: Towards a Formal Theory of Cost-Constrained Complex Cyber-Physical-Human Systems,National Science Foundation,582646,
7/18/2018,Not Funded,Jun Wang,Wang,Jun,010 Chemistry,CAREER: Fast Affinity Induced Reaction Sensor for Spatiotemporal Detection of Live Cell Microenvironment,National Science Foundation,511862,
7/18/2018,Not Funded,Petko Bogdanov,Bogdanov,Petko,010 Computer Science,CAREER: Optimizing the Temporal Resolution in Dynamic Graph Mining,National Science Foundation,535126,
7/18/2018,Not Funded,Weifu Wang,Wang,Weifu,010 Electrical & Comp Engr,CAREER: Constraint-based manipulation and Locomotion of deformable objects,National Science Foundation,552596,
7/18/2018,Not Funded,Yelin Kim,Kim,Yelin,010 Electrical & Comp Engr,CAREER: Predicting Affective Bond in Dyadic Interactions Using Audio-Visual Expressive Speech,National Science Foundation,522092,
7/19/2018,Not Funded,Amirreza Masoumzadeh-Tork,Masoumzadeh-Tork,Amirreza,010 Computer Science,CAREER: Black-Box Learning of Privacy Control Policies in Web Applications,National Science Foundation,515095,
7/19/2018,Not Funded,Annalisa Scimemi,Scimemi,Annalisa,010 Biology,CAREER: A daily light switch for the brain,National Science Foundation,937683,
7/19/2018,Not Funded,Cynthia Najdowski,Najdowski,Cynthia,010 Hindelang Criminal Justice Research Center,CAREER: Effects of Structural Patriarchy  Citizen Perceptions  and Violence Against Women Framing on Criminalization of Image-Based Sexual Abuse,National Science Foundation,665603,
7/23/2018,Not Funded,Bryan Early,Early,Bryan,010 Center for Policy Research,Security & Strategic Trade Management Academy,US Department of State,499737,
7/23/2018,Not Funded,Ricky Chi Yeung Leung,Leung,Ricky Chi Yeung,Setup Business Group,CAREER: Combining partial knowledge to combat fake news: A situational analysis of the cancer community,National Science Foundation,497418,
7/24/2018,Awarded,David Holtgrave,Holtgrave,David,010 Biomedical Science,GRA 5839-01 Alternative Ribosomes & Antibiotic Tolerance in Mycobacteria,National Institute of Allergy & Infectious Disease,200000,
7/26/2018,Awarded,Scott Miller,Miller,Scott,010 Atmospheric Sciences Research Center,Robust  Low-power Strategies for Unattended Micrometeorological Buoy Deployments in Extreme Environments,National Science Foundation,163442,
7/26/2018,Not Funded,Alex Kumi-Yeboah,Kumi-Yeboah,Alex,010 Educational Theory & Practice,Examining the Multiple Worlds and Academic Success of West African Immigrant Students- Exploratory Study,Spencer Foundation,49991,
7/27/2018,Awarded,Kate Coddington,Coddington,Kate,010 Geography & Planning,A Comparative Examination of Public Information Campaigns as a Mechanism of Border Enforcement in the United States and Australia,National Science Foundation,120747,
7/30/2018,Not Funded,Xiaobo Romeiko,Romeiko,Xiaobo,010 Environmental Health Sciences,Multi-scale Modeling of Spacially Explicit Life Cycle Greenhouse Gas Emissions and Nutrient Releases from Livestock Production,USDA National Institute of Food and Agriculture,499870,
7/31/2018,Not Funded,John McCauley,McCauley,John,010 Biology,Circadian control of synaptic function,National Institutes of Health,158126,
7/31/2018,Not Funded,Paul Miesing,Miesing,Paul,010 Management,Foodshed dynamics: Building a laboratory for understanding local food and rural prosperity through sustainable social enterprise,USDA National Institute of Food and Agriculture,463940,Luis Luna-Reyes
8/1/2018,Not Funded,Chinwe Ekenna,Ekenna,Chinwe,010 Computer Science,S&AS:INT: COLLAB: Algorithms for Heterogeneous Robotic Office Support Teams,National Science Foundation,300000,
8/1/2018,Not Funded,Hany Elgala,Elgala,Hany,010 Electrical & Comp Engr,CAREER: Enabling Future Networks Through Augmented Communications,National Science Foundation,655392,
8/1/2018,Not Funded,Tolga Soyata,Soyata,Tolga,010 Electrical & Comp Engr,A Generalized Massively-Distributed Autonomous System Development Platform,National Science Foundation,989345,Ming-Ching Chang : Feng Chen : Yelin Kim : Chinwe Ekenna
8/1/2018,Not Funded,Zhang Wang,Wang,Zhang,010 Chemistry,CAREER: Exploration of New Reactivity Hidden in Natural Products and Applications in Biomimetic Synthesis,National Science Foundation,575069,
8/2/2018,Awarded,David Holtgrave,Holtgrave,David,010 Dean - School of Public Health,Novel Stigma/Structural Interventions for Increasing HIV/STI Testing Among BMSM,National Institute of Mental Health,96352,
8/2/2018,Awarded,Sandra McGinnis,McGinnis,Sandra,010 Center for Human Services Research,Preventing Opioid Use  Overdose  and Death in the GOW Region,Greater Rochester Health Foundation,116440,Rose Greene
8/7/2018,Not Funded,Gabriel Schlomer,Schlomer,Gabriel,010 Educational and Counseling Psychology,Social and Genetic Complexity in Longitudinal Substance use Intervention Research (GxPxl),National Institute on Drug Abuse,238529,
8/8/2018,Awarded,Charalampos Chelmis,Chelmis,Charalampos,010 Computer Science,CRII: III: Adding Exploratory Statistical Analysis and Prediction Support to SPARQL,National Science Foundation,174596,
8/8/2018,Awarded,Chinwe Ekenna,Ekenna,Chinwe,010 Computer Science,CRII:IIS:Topology Aware Configuration Spaces,National Science Foundation,174146,
8/8/2018,Awarded,Justin Curry,Curry,Justin,010 Mathematics & Statistics,CRII: AF: Enriched Topological Summaries for Inverse Problems,National Science Foundation,174074,
8/8/2018,Not Funded,David Guinn,Guinn,David,010 Center for International Development,Judicial Reform in Uzbekistan Program,US Agency for International Development,533051,
8/8/2018,Not Funded,Florence Lee,Lee,Florence,010 Anthropology,Relationship between prevalence of autoimmunity and toxicant exposure in akwesasne women,National Institutes of Health,58860,
8/8/2018,Not Funded,Nicholas Moskwa,Moskwa,Nicholas,010 Biology,Identifying mesenchymal signals generating the salivary proacinar cell niche,National Institutes of Health,88956,
8/9/2018,Awarded,Mary Gallant,Gallant,Mary,010 Dean - School of Public Health,Fellowship in Applied Public Health - HRI Prescription Drug Overdose,Centers for Disease Control and Prevention,15320,
8/10/2018,Awarded,Qishan Lin,Lin,Qishan,010 Chemistry,Neutralizing Nanobodies as Therapeutics for Dengue Virus,National Institutes of Health,11680,
8/10/2018,Not Funded,Bryan Early,Early,Bryan,010 Center for Policy Research,Countering DPRK &Iranian Proliferation Activities N. Africa,US Department of State,338321,
8/14/2018,Awarded,Bryan Early,Early,Bryan,010 Center for Policy Research,Legal and Regulatory Support for Tunisia,US Department of State,312041,
8/14/2018,Not Funded,Victor Asal,Asal,Victor,010 Center for Policy Research,Crossing into Cyber: Why and When do Violent Non-State Actors Start Using Cyber-Attacks,US Department of Defense,523829,Randy Rethemeyer
8/15/2018,Awarded,Camille Barnes,Barnes,Camille,010 Center for Human Services Research,New York State Systems of Care-- NYC (OMH),NYS Office of Mental Health,28682,Rose Greene
8/15/2018,Not Funded,Brian Greenhill,Greenhill,Brian,010 Center for Policy Research,Assessing the Authority of International Organizations in Policy Debates,National Science Foundation,120763,
8/15/2018,Not Funded,Zoya Gubernskaya,Gubernskaya,Zoya,010 Sociology,Genetic Influences on Immigrant Health,Russell Sage Foundation,49948,
8/20/2018,Not Funded,Maria delos milagros Gasco-Hernandez,Gasco-Hernandez,Maria delos milagros,010 Center for Technology in Government,ESD: Improving Decision Making About Urban Blight in Small and Medium Cities,Empire State Development Corp,334006,Theresa Pardo : Jose Ramon Gil-Garcia
8/21/2018,Not Funded,Allison Appleton,Appleton,Allison,010 Epidemiology & Biostatistics,Assessing Home Based Lead Exposures among Vulnerable Children in Upstate New York: The Albany Infant and Mother Study,US Department of Housing and Urban Development,699606,Leslie Halpern : Lawrence Schell : Murat Yucel
8/22/2018,Awarded,Mariola Moeyaert,Moeyaert,Mariola,010 Educational and Counseling Psychology,Assessing Generalizability and Variability of Single-Case Design Effect Sizes using Multilevel Modeling Including Moderators,US Department of Education,224997,
8/22/2018,Not Funded,Erica Barnes,Barnes,Erica,010 Department of Literacy Teaching & Learning,Delivering Virtual Professional Development of the Interactive Strategies Approach,US Department of Education,3302416,Donna Scanlon
8/22/2018,Not Funded,Mustafa Aksoy,Aksoy,Mustafa,010 Electrical & Comp Engr,Characterizing the Electrical Properties of Lunar Regolith for Wideband Passive Remote Sensing of the Moon,NASA Headquarters,879866,
8/23/2018,Not Funded,Heidi Andrade,Andrade,Heidi,010 Educational and Counseling Psychology,Diagnostic Assessment and Achievement of College Skills,US Department of Education,3299679,
8/24/2018,Awarded,David Holtgrave,Holtgrave,David,010 Biomedical Science,GRA 5862-01 Effects of retrotransportation activity on asymmetric cell division,Health Research Inc,77788,
8/27/2018,Awarded,Dina Refki,Refki,Dina,010 Center for Women in Government & Civil Society,Fellowship on Women & Public Policy,New York State Coalition Against Sexual Assault,30000,
8/28/2018,Not Funded,Cecilia Levy,Levy,Cecilia,010 Physics,Consortium for Monitoring  Technology and Verification (MTV,US Department of Energy,1254411,
8/29/2018,Awarded,David Holtgrave,Holtgrave,David,010 Dean - School of Public Health,Mining social media for HIV testing and prediction communication,National Institutes of Health,382267,
8/30/2018,Awarded,Mary McCarthy,McCarthy,Mary,010 School of Social Welfare,ST07 Social Work Education Consortium,NYS Office of Children and Family Services,350000,
8/31/2018,Not Funded,Alexander Khmaladze,Khmaladze,Alexander,010 Physics,Optical multi-channel detector for in-situ inline monitoring of water quality,National Institutes of Health,65489,
9/4/2018,Awarded,Dola Saha,Saha,Dola,010 Electrical & Comp Engr,REU Supplement for CRI: II-NEW: CHRONOS: A Cloud based Hybrid RF-Optical Network Over Synchronous Links,National Science Foundation,16000,Hany Elgala : Aveek Dutta
9/4/2018,Not Funded,Maria delos milagros Gasco-Hernandez,Gasco-Hernandez,Maria delos milagros,010 Center for Technology in Government,NSF11-8301Gasco_9-4-18,National Science Foundation,742496,Theresa Pardo : Jose Ramon Gil-Garcia
9/5/2018,Awarded,Deborah Kundert,Kundert,Deborah,010 School Psychology Program,School Psychology Training Support 2018-19,Center for Disability Services,33120,
9/5/2018,Awarded,Leonard Behr,Behr,Leonard,010 University in High School,Upstate NY JSHS 2019,Academy of Applied Sciences,20918,
9/5/2018,Not Funded,Matthew Ingram,Ingram,Matthew,010 Center for Policy Research,Spatial Dynamics of Homicide in the U.S.  Mexico  and Central America,National Science Foundation,378302,
9/6/2018,Awarded,Lani Jones,Jones,Lani,010 School of Social Welfare,Liberty Partnerships Rising Stars Program,NYS Education Department,375000,
9/6/2018,Not Funded,Alex Valm,Valm,Alex,010 Biology,Systems imaging to elucidate oral microbiome physical structure  assembly and dynamics,National Institutes of Health,1500000,
9/6/2018,Not Funded,Thomas Narins,Narins,Thomas,010 Geography & Planning,Testing Supply Chain Resilience in the Expanding Electric Battery Sector,National Science Foundation,442253,
9/7/2018,Awarded,Lance Bosart,Bosart,Lance,010 Atmospheric and Environmental Sciences,West Coast Weather Regimes:  Onset  Persistence  and Demise,US ARMY Engineer Research and Development Center,343993,
9/7/2018,Not Funded,Aiguo Dai,Dai,Aiguo,010 Atmospheric and Environmental Sciences,Using GPM Products to Study Precipitation Diurnal Cycle and Extremes over Complex Terrain and Coastal Regions and Their Simulations in Climate Models,NASA Earth Science Enterprise,496861,Junhong Wang
9/7/2018,Not Funded,Archana Krishnan,Krishnan,Archana,010 Communication,Implementing mHealth among Substance-Using MSM with HIV,National Institute on Drug Abuse,930399,
9/10/2018,Not Funded,Jeffrey Freedman,Freedman,Jeffrey,010 Atmospheric Sciences Research Center,Data Management and Analysis Contractor Support,NYS Energy Research and Development Authority,115673,
9/10/2018,Not Funded,Jeffrey Freedman,Freedman,Jeffrey,010 Atmospheric Sciences Research Center,Empire Wind Low-Level Jet Study,Equinor,27516,
9/10/2018,Not Funded,Qilong Min,Min,Qilong,010 Atmospheric Sciences Research Center,Understanding Winter winter storm over complex terrain using through GPM and NYS Mesonet,NASA Headquarters,415761,
9/10/2018,Not Funded,Thomas Begley,Begley,Thomas,010 Biology,Regulation of the response to cancer therapeutics by the tRNA epitransciptome and codon-biased translation,National Institutes of Health,965625,
9/11/2018,Awarded,Jianwei Zhang,Zhang,Jianwei,010 Educational Theory & Practice,The Development of Students' Identities as Knowledge Builders,European Commission,7800,
9/11/2018,Not Funded,James Dias,Dias,James,010 Biomedical Science,Nature of Nurture: The epigenetics of aging in the response to FSH glycoforms,Eunice Kennedy Shriver National Institute of Child Health & Human Dev,772500,
9/12/2018,Awarded,Kenneth Robin,Robin,Kenneth,010 Center for Human Services Research,My Brother's Keeper Challenge Grant,City School District of Albany,15000,Rose Greene
9/12/2018,Awarded,Rose Greene,Greene,Rose,010 Center for Human Services Research,Data Management and Evaluation of Prevention Programs,NYS Office of Children and Family Services,125000,
9/12/2018,Awarded,Rose Greene,Greene,Rose,010 Center for Human Services Research,Evaluation of New York State's Home Visiting Program,NYS Office of Children and Family Services,1602905,
9/12/2018,Awarded,Rose Greene,Greene,Rose,010 Center for Human Services Research,National Youth in Transition Database,NYS Office of Children and Family Services,292096,
9/13/2018,Not Funded,Mohammed Agamy,Agamy,Mohammed,010 Electrical & Comp Engr,Online Performance and Health Monitoring of Power Converters with Wide Bandgap Devices,Sony Corporation,98873,
9/14/2018,Awarded,Lance Bosart,Bosart,Lance,010 Atmospheric and Environmental Sciences,PREEVENTS Track 2: Collaborative Research: Multi-scale processes impacting the predictability of severe convective weather events,National Science Foundation,520000,
9/14/2018,Awarded,Liming Zhou,Zhou,Liming,010 Atmospheric and Environmental Sciences,Collaborative Research: Linking the long-term Congo drought to changes in Walker-type circulations affecting equatorial Africa,National Science Foundation,598447,
9/14/2018,Not Funded,John Welch,Welch,John,010 Chemistry,?6-Tetrafluorosulfanyl-containing compounds,National Science Foundation,473000,
9/17/2018,Not Funded,Ryan Torn,Torn,Ryan,010 Atmospheric and Environmental Sciences,PREEVENTS Track 2: Collaborative Research:  Coupled Ensemble Modeling and Predictability for Storm Surge and Other Landfalling Tropical Cyclone Hazards,National Science Foundation,468000,
9/18/2018,Not Funded,Evgeny Dikarev,Dikarev,Evgeny,010 Chemistry,Synthetic Approaches to Heterotrimetallic Molecular Precursors,National Science Foundation,450152,
9/19/2018,Not Funded,Magdia DeJesus,DeJesus,Magdia,010 Biomedical Science,Candida auris: Development of novel vaccines and diagnostics,Department of Defense (CDMRP),1643107,
9/19/2018,Not Funded,Qiang Zhang,Zhang,Qiang,010 Chemistry,Studies towards Unusual Dearomatization of Phenol  Naphthalenol  and Athracenol,National Science Foundation,410544,
